epoch,lr,loss
1,9.999901304280685e-05,0.05906863883137703
2,9.999605221019081e-05,0.010831532068550587
3,9.999111761904046e-05,0.008275071159005165
4,9.9984209464165e-05,0.006610061042010784
5,9.997532801828658e-05,0.006084165535867214
6,9.996447363202946e-05,0.005629381164908409
7,9.995164673390625e-05,0.005162562243640423
8,9.993684783030088e-05,0.004758512135595083
9,9.992007750544876e-05,0.004773387219756842
10,9.990133642141359e-05,0.004257695749402046
11,9.988062531806126e-05,0.004344944376498461
12,9.98579450130307e-05,0.0038699989672750235
13,9.983329640170149e-05,0.003994492813944817
14,9.980668045715864e-05,0.0035867923870682716
15,9.977809823015401e-05,0.003747639013454318
16,9.974755084906502e-05,0.003670369042083621
17,9.971503951984995e-05,0.0033255438320338726
18,9.968056552600043e-05,0.003262488404288888
19,9.964413022849068e-05,0.003345768665894866
20,9.96057350657239e-05,0.0032179751433432102
21,9.956538155347534e-05,0.0029129369650036097
22,9.952307128483256e-05,0.003109264187514782
23,9.947880593013255e-05,0.0029525908175855875
24,9.94325872368957e-05,0.002999077783897519
25,9.938441702975689e-05,0.0026777193415910006
26,9.93342972103934e-05,0.002770740771666169
27,9.928222975744991e-05,0.002695514354854822
28,9.922821672646027e-05,0.002705235034227371
29,9.917226024976649e-05,0.0028373950626701117
30,9.911436253643445e-05,0.0026595594827085733
31,9.90545258721667e-05,0.0026038114447146654
32,9.899275261921234e-05,0.0029252360109239817
33,9.892904521627361e-05,0.0024887428153306246
34,9.886340617840968e-05,0.002578382845968008
35,9.879583809693738e-05,0.0026030526496469975
36,9.872634363932887e-05,0.0025328663177788258
37,9.865492554910633e-05,0.0023930640891194344
38,9.85815866457337e-05,0.00233180052600801
39,9.85063298245053e-05,0.0024884792510420084
40,9.842915805643155e-05,0.002461389871314168
41,9.835007438812177e-05,0.002234671963378787
42,9.82690819416637e-05,0.0025516587775200605
43,9.81861839145005e-05,0.0022638067603111267
44,9.81013835793043e-05,0.002332532312721014
45,9.801468428384716e-05,0.0022948982659727335
46,9.79260894508688e-05,0.002339137252420187
47,9.783560257794154e-05,0.002303368179127574
48,9.774322723733216e-05,0.0023113868664950132
49,9.764896707586096e-05,0.002222435548901558
50,9.755282581475769e-05,0.0022060596384108067
51,9.745480724951473e-05,0.002172352746129036
52,9.735491524973722e-05,0.002198627684265375
53,9.725315375899024e-05,0.0023109319154173136
54,9.714952679464323e-05,0.0022892931010574102
55,9.704403844771128e-05,0.0020351216662675142
56,9.693669288269372e-05,0.002121541416272521
57,9.682749433740962e-05,0.0020342229399830103
58,9.671644712283061e-05,0.002042710781097412
59,9.660355562291055e-05,0.00203813798725605
60,9.648882429441257e-05,0.0020451555028557777
61,9.637225766673307e-05,0.0021690495777875185
62,9.62538603417229e-05,0.001997728366404772
63,9.613363699350575e-05,0.0020008962601423264
64,9.601159236829352e-05,0.001955013955011964
65,9.588773128419906e-05,0.0019131363369524479
66,9.576205863104588e-05,0.002014651196077466
67,9.563457937017515e-05,0.0019595336634665728
68,9.550529853424979e-05,0.0018283973913639784
69,9.537422122705585e-05,0.0019541920628398657
70,9.524135262330098e-05,0.0018402035348117352
71,9.510669796841014e-05,0.0018802735721692443
72,9.497026257831855e-05,0.0018465220928192139
73,9.483205183926181e-05,0.0019389605149626732
74,9.46920712075632e-05,0.001977026928216219
75,9.45503262094184e-05,0.001925065298564732
76,9.440682244067724e-05,0.001940990099683404
77,9.426156556662276e-05,0.0018335835775360465
78,9.411456132174767e-05,0.0018521733582019806
79,9.396581550952781e-05,0.0018430526833981276
80,9.381533400219318e-05,0.001768350601196289
81,9.366312274049602e-05,0.001874735695309937
82,9.35091877334763e-05,0.0017448324942961335
83,9.33535350582245e-05,0.001838891999796033
84,9.319617085964176e-05,0.0019186018034815788
85,9.30371013501972e-05,0.0017632066737860441
86,9.287633280968261e-05,0.0017469791928306222
87,9.271387158496476e-05,0.0018058886053040624
88,9.254972408973461e-05,0.0017326939851045609
89,9.238389680425416e-05,0.001928310259245336
90,9.221639627510076e-05,0.001814932213164866
91,9.204722911490846e-05,0.0017084722639992833
92,9.18764020021071e-05,0.0019049784168601036
93,9.170392168065857e-05,0.001807330991141498
94,9.152979495979063e-05,0.0017147521721199155
95,9.135402871372808e-05,0.001736931735649705
96,9.117662988142138e-05,0.001741868443787098
97,9.099760546627261e-05,0.001666257157921791
98,9.081696253585921e-05,0.0016826202627271414
99,9.06347082216547e-05,0.0017832581652328372
100,9.045084971874738e-05,0.0016800592420622706
101,9.02653942855561e-05,0.0017248498043045402
102,9.007834924354383e-05,0.0017215663101524115
103,8.988972197692855e-05,0.0016754863318055868
104,8.969951993239177e-05,0.0017488865414634347
105,8.950775061878453e-05,0.0016790794907137752
106,8.931442160683094e-05,0.001700333203189075
107,8.91195405288294e-05,0.001719017163850367
108,8.892311507835119e-05,0.0016352569218724966
109,8.872515300993669e-05,0.001622928655706346
110,8.852566213878947e-05,0.0017589796334505081
